"BM_activity","BM_rate","BM_consistency","BM_actdet_stationary","BM_actdet_walking","posture_activity","posture_rate","speech_profile_speaking","speech_profile_overlap","speech_profile_listening","speech_profile_silent","speech_profile_total_speaking","speech_profile_total_silent","speech_participation","audio_front_volume","audio_front_vol_consistency","audio_back_volume","audio_back_vol_consistency","interactions_combined_101","interactions_combined_102","interactions_combined_Average","interactions_proximity_101","interactions_proximity_102","interactions_proximity_Average","interactions_facetoface_101","interactions_facetoface_102","interactions_facetoface_Average","combined_betweenness_centrality","combined_closeness_centrality","combined_closeness_vitality","combined_cohesion","combined_degree_centrality","facetoface_betweenness_centrality","facetoface_closeness_centrality","facetoface_closeness_vitality","facetoface_cohesion","facetoface_degree_centrality","proximity_betweenness_centrality","proximity_closeness_centrality","proximity_closeness_vitality","proximity_cohesion","proximity_degree_centrality","Temp","ID","Woman","SD"
0.006532408,1.09e-07,0.982785193,2213,30,1.640482217,8.51e-05,676.2,235.7,483.2,1184.9,911.9,1668.1,0.47597532,0.013780608,0.500115949,0.011481491,0.407673976,0,2580,1290,0,1609.395697,804.6978485,0,914.214776,457.107388,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.8583847,"185",1,0
0.006392719,-9.32e-07,0.984445182,2317,1,2.393715381,-0.002889717,483.2,235.7,676.2,1184.9,718.9,1861.1,0.381389021,0.009434001,0.590390138,0.009523832,0.583402774,2580,0,1290,1609.395697,0,804.6978485,914.214776,0,457.107388,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,28.63032584,"186",1,0
0.006763072,4.61e-06,0.984845733,2271,23,2.036454105,-0.004251458,401,266.2,720.8,1312,667.2,2032.8,0.517168348,0.008426356,0.716640846,0.008819756,0.713047804,0,2700,1350,0,1683.208303,841.6041515,0,1656.947916,828.473958,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,27.67982142,"187",0,0
0.004323135,-5.38e-06,0.990816156,2318,0,2.074368078,-0.001800621,720.8,266.2,401,1312,987,1713,0.26060943,0.010020181,0.707862952,0.007549591,0.610124863,2700,0,1350,1683.208303,0,841.6041515,1656.947916,0,828.473958,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.23217199,"188",0,0
0.005935927,-8.85e-05,0.985937573,1608,11,1.531439289,-0.001242571,407.1,165.8,326.5,1020.6,572.9,1347.1,0.459609015,0.012846363,0.45084727,0.013349106,0.473786522,0,1920,960,0,1177.3647,588.68235,0,1094.569253,547.2846265,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,26.61368617,"189",0,1
0.004252582,2.04e-06,0.990846502,1613,0,1.651805474,1.29e-05,326.5,165.8,407.1,1020.6,492.3,1427.7,0.378932652,0.012781747,0.651368727,0.011238742,0.590447032,1920,0,960,1177.3647,0,588.68235,1094.569253,0,547.2846265,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,27.65392635,"190",0,1
0.00676075,1.17e-05,0.983329731,1882,17,1.729781839,-0.001637809,673.2,150.4,295.7,1100.7,823.6,1396.4,0.45937066,0.014580612,0.51412919,0.014941797,0.537080542,0,2220,1110,0,1269.309859,634.6549295,0,1089.178187,544.5890935,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.31868684,"191",0,0
0.003567288,1.09e-07,0.993604407,1898,0,1.326548061,-0.000525,295.7,150.4,673.2,1100.7,446.1,1773.9,0.391079791,0.015552601,0.670183621,0.01280462,0.601285673,2220,0,1110,1269.309859,0,634.6549295,1089.178187,0,544.5890935,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.35160944,"192",0,1
0.005031007,-5.21e-06,0.990022144,2169,9,1.465804973,-0.001880905,475.2,120.5,571,1353.3,595.7,1924.3,0.468904944,0.009184247,0.685683598,0.009285713,0.65277986,0,2520,1260,0,1489.667684,744.833842,0,940.253004,470.126502,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,28.83142231,"193",1,1
0.003988515,1.92e-06,0.993143411,2128,22,1.591667701,0.002796018,571,120.5,475.2,1353.3,691.5,1828.5,0.382285532,0.01279026,0.678429596,0.010080468,0.656798519,2520,0,1260,1489.667684,0,744.833842,940.253004,0,470.126502,0,1,2,NA,1,0,1,2,NA,1,0,1,2,NA,1,29.94135414,"194",1,1
